"","country","year","vector","popvector","aidvector","percIN","percOUT","percGIVEN","percRECEIVED","percINVEST"
"199","Guatemala",1995,"11",1,1,0.013796960111627,3.78445112525844,0,16.5735668659031,7.2593968860708
"200","Guyana",1995,"11",1,1,0.398516571601566,6.24815087485121,0,176.848352726784,44.3063275650805
"201","Honduras",1995,"11",1,1,0.0779090331553373,3.30215541170882,0,78.4020028510411,15.307897192524
"202","Croatia",1995,"11",1,1,1.10751766973656,4.53531805525809,0,3.84548291123379,15.7897228411563
"203","Haiti",1995,"11",1,1,0.0760760561067628,1.81696323412627,0,60.8218828690439,1.99977728622747
"204","Hungary",1995,"11",1,1,1.00225918085694,0.212112249388007,0,17.4208059171422,40.8278874513296
"205","Indonesia",1995,"13",3,1,0.0694250081787806,0.463547923160918,0,19.9071460466663,6.48614626753106
"206","India",1995,"42",2,4,0.070852713698815,0.123301888611353,0,11.5166066759081,3.53252892937425
"207","Ireland",1995,"11",1,1,3.03011410034413,0.719677037586305,0,0.00876370953887922,52.2550314054241
"208","Iraq",1995,"11",1,1,0.281772079684994,0.373646752837444,0,0,0
"209","Iceland",1995,"11",1,1,1.86377435805405,1.12200337984357,0.269425055986438,0,6.08509191028806
"210","Israel",1995,"11",1,1,4.79545536519387,0.373002705139766,0,11.1915503258177,10.2718064218233
"211","Italy",1995,"34",4,3,0.973320052846809,0.577593501322375,1.33541727775189,0.0685361643305194,1.85046296506968
"212","Jamaica",1995,"11",1,1,0.211083171991613,3.15467917767941,0,48.39186226987,24.6950954772738
"213","Jordan",1995,"11",1,1,2.52523171606224,6.88504911162971,0,58.1360069086577,12.7498129526984
"214","Japan",1995,"53",3,5,0.191067371391672,0.180870383214152,1.33292764849973,0,0.349112552688359
"215","Kazakhstan",1995,"11",1,1,0.274677714306092,8.62561494562403,0,11.2077690334177,30.239065239141
"216","Kenya",1995,"11",1,1,0.465604197707708,0.543407042733844,0,47.866630400955,3.22297350165264
"217","Kyrgyz Republic",1995,"11",1,1,0.422397158144022,1.01793702306815,0,87.7916120586431,22.9250475388817
"218","Cambodia",1995,"11",1,1,0.869973880866718,0,0,51.0125543675992,32.6386101876809
"219","Kuwait",1995,"11",1,1,12.1834589570998,4.56423855137746,13.2617454948583,28.4233958130145,1.8577939796326
"220","Lebanon",1995,"11",1,1,4.52244111075141,4.52395755793982,0,17.1250775143264,0
"221","Liberia",1995,"11",1,1,21.7840966075154,0,0,189.430787091988,395.296735905044
"222","Libya",1995,"11",1,1,2.63617619770563,3.05280511139145,0,0.0720581256741572,-2.05169219671225
"223","St. Lucia",1995,"11",1,1,0.919477693144722,1.56352013057671,0,45.7001421552117,47.3494079342751
"224","Sri Lanka",1995,"11",1,1,1.10656191213898e-05,2.21207259046144,0,40.9234887382969,7.48874084750928
"225","Lesotho",1995,"11",1,1,0.000342109584542121,1.19253699344974,0,91.0645588459067,125.674098540769
"226","Lithuania",1995,"11",1,1,0.00939626386913347,2.91879368504936,0,11.2196487816701,25.3017099709374
"227","Luxembourg",1995,"11",1,1,6.17828081982258,1.31293973692261,0,1.93111390496056,0
"228","Latvia",1995,"11",1,1,2.19769695330809,3.8071174251204,0,13.4872943990988,30.8699246871738
"229","Morocco",1995,"11",1,1,0.00949492135837828,1.85284977786339,0,29.1510456058959,0.478829866988038
"230","Moldova",1995,"11",1,1,0.0114826838678359,6.88365129755688,0,39.0473347008185,13.7925460405967
"231","Madagascar",1995,"11",1,1,0.0165099104807528,0.0678459941277943,0,59.0646388916929,3.44625317757451
"232","Maldives",1995,"11",1,1,0.308235294117647,0.738039215686275,0,58.2295898434872,12.9815780836821
"233","Mexico",1995,"44",4,4,0.18836784152693,1.62269676708595,0,11.2408341082593,16.922686738793
"234","Macedonia, FYR",1995,"11",1,1,1.42878788499261,1.89061521010021,0,16.2480938268272,6.1880201282524
"235","Mali",1995,"11",1,1,0.251186565045506,1.72812124668448,0,108.690993310388,8.50773080704461
"236","Malta",1995,"11",1,1,1.44666802678191,0.851573450197261,0,3.70938665252739,47.8272661515022
"237","Myanmar",1995,"14",4,1,0.0879382270076192,0.0813604172098318,0,0,0
"238","Mongolia",1995,"11",1,1,0,2.5133613978533,0,92.9644902700553,6.8862697860966
"239","Mozambique",1995,"11",1,1,0.620997755245819,0.152503273874778,0,333.064622854486,30.7843148719564
"240","Mauritania",1995,"11",1,1,0.631200283123233,0.210114457537085,0,104.348268649451,1.30545216803667
"241","Mauritius",1995,"11",1,1,1.24361111383331,2.0310800324645,0,17.2785386579791,4.26091305319087
"242","Malawi",1995,"11",1,1,1.22349893289213,2.3069666812314,0,192.698988692569,7.65262029362341
"243","Malaysia",1995,"11",1,1,3.21626041585546,1.18316320853848,0,5.54164603170376,23.0560246911109
"244","Namibia",1995,"11",1,1,2.46352648448145,0.318882562957392,0,29.6755674971103,11.9343014779624
